Income of Household,Number,Dollars,Standard Error
....Total,"126,224","83,143",469
"Under $5,000","4,138","1,074",45
"$5,000 to  $9,999","3,878","7,978",34
"$10,000 to $14,999","6,122","12,343",33
"$15,000 to $19,999","5,838","17,267",31
"$20,000 to $24,999","6,245","22,230",32
"$25,000 to $29,999","5,939","27,109",30
"$30,000 to $34,999","5,919","32,004",31
"$35,000 to $39,999","5,727","37,038",32
"$40,000 to $44,999","5,487","42,043",32
"$45,000 to $49,999","5,089","47,063",35
"$50,000 to $54,999","5,119","51,948",34
"$55,000 to $59,999","4,298","57,094",41
"$60,000 to $64,999","4,404","61,946",34
"$65,000 to $69,999","3,809","67,070",40
"$70,000 to $74,999","3,775","72,075",39
"$75,000 to $79,999","3,677","76,993",38
"$80,000 to $84,999","3,370","81,923",37
"$85,000 to $89,999","2,828","87,054",45
"$90,000 to $94,999","3,000","92,040",43
"$95,000 to $99,999","2,599","97,153",47
"$100,000 to $104,999","2,843","101,865",44
"$105,000 to $109,999","2,071","107,138",47
"$110,000 to $114,999","2,261","111,964",50
"$115,000 to $119,999","1,828","117,141",52
"$120,000 to $124,999","1,992","121,928",51
"$125,000 to $129,999","1,586","127,099",57
"$130,000 to $134,999","1,557","132,037",63
"$135,000 to $139,999","1,264","137,062",60
"$140,000 to $144,999","1,327","142,042",66
"$145,000 to $149,999","1,106","147,160",71
"$150,000 to $154,999","1,323","151,907",65
"$155,000 to $159,999","1,015","157,202",80
"$160,000 to $164,999","1,063","162,102",71
"$165,000 to $169,999",946,"167,283",80
"$170,000 to $174,999",807,"172,169",91
"$175,000 to $179,999",768,"177,109",88
"$180,000 to $184,999",722,"181,958",83
"$185,000 to $189,999",606,"187,207",104
"$190,000 to $194,999",621,"192,198",84
"$195,000 to $199,999",482,"197,117",104
"$200,000 to $249,999","3,848","220,418",359
"$250,000 and over","4,926","413,853","5,680"